what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1421874201769
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1421874201770
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1421874201770
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1421874201770
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1421874201771
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1421874201771
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1421874201771
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1421874201772
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1421874201772
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1421874201772
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1421874201773
os,sysinfo,,,"linux",1421874201775
arch,sysinfo,,,"x86_64",1421874201775
ws,sysinfo,,,"gtk",1421874201775
locale,sysinfo,,,"en_US",1421874201775
processors,sysinfo,,,"8",1421874201775
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1421874201775
java.runtime.version,sysinfo,,,"1.6.0_33-b33",1421874201775
java.specification.name,sysinfo,,,"Java Platform API Specification",1421874201775
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1421874201775
java.specification.version,sysinfo,,,"1.6",1421874201775
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1421874201775
java.version,sysinfo,,,"1.6.0_33",1421874201775
java.vm.info,sysinfo,,,"mixed mode",1421874201775
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1421874201775
